ProductID,Handle,SKU,Existing,Incoming
gid://shopify/Product/8043092377674,reflective-mylar-rolls,hmh00925,DRAFT,ACTIVE
gid://shopify/Product/8043093131338,reflective-mylar-rolls,hmh00926,DRAFT,ACTIVE
gid://shopify/Product/8043093196874,reflective-mylar-rolls,hmh00927,DRAFT,ACTIVE
gid://shopify/Product/8043089395786,accessories-components,hmh00941,DRAFT,ACTIVE
gid://shopify/Product/8043093262410,accessories-components,hmh00944,DRAFT,ACTIVE
gid://shopify/Product/8043135336522,accessories-components,hmh00949,DRAFT,ACTIVE
gid://shopify/Product/8043135729738,accessories-components,hmh00951,DRAFT,ACTIVE
gid://shopify/Product/8043123507274,green-air-genesis-calibration-solutions,hmh00968,DRAFT,ACTIVE
gid://shopify/Product/8043125669962,green-air-genesis-calibration-solutions,hmh00969,DRAFT,ACTIVE
gid://shopify/Product/8043127046218,green-air-genesis-calibration-solutions,hmh00970,DRAFT,ACTIVE
gid://shopify/Product/8043127144522,green-air-genesis-calibration-solutions,hmh00971,DRAFT,ACTIVE
